Episode,Score
0,1256
1,420
2,308
3,132
4,1068
5,1260
6,508
7,504
8,176
9,1288
10,996
11,1136
12,316
13,896
14,560
15,1648
16,692
17,492
18,856
19,1252
20,1184
21,348
22,572
23,1392
24,956
25,240
26,584
27,232
28,1524
29,932
30,1904
31,308
32,564
33,536
34,656
35,1324
36,1492
37,1684
38,1372
39,1644
40,916
41,1140
42,1088
43,308
44,600
45,900
46,452
47,1272
48,2468
49,952
50,392
51,332
52,2276
53,408
54,296
55,248
56,760
57,644
58,320
59,1680
60,600
61,1796
62,1040
63,2828
64,568
65,384
66,652
67,916
68,1304
69,1136
70,572
71,284
72,1344
73,988
74,1568
75,704
76,1260
77,1240
78,744
79,660
80,1104
81,760
82,1408
83,792
84,516
85,480
86,636
87,952
88,1048
89,2928
90,504
91,884
92,628
93,1192
94,404
95,2380
96,1140
97,760
98,576
99,1404
100,112
101,300
102,692
103,1384
104,604
105,1928
106,1108
107,704
108,2408
109,776
110,1028
111,1548
112,1340
113,1004
114,736
115,932
116,812
117,688
118,692
119,960
120,1492
121,456
122,1844
123,776
124,292
125,1096
126,788
127,300
128,1428
129,1384
130,1164
131,212
132,616
133,1280
134,332
135,1072
136,1432
137,1252
138,480
139,960
140,108
141,208
142,468
143,676
144,1080
145,1200
146,976
147,868
148,2304
149,872
150,820
151,860
152,640
153,328
154,376
155,672
156,1212
157,1332
158,1200
159,880
160,484
161,188
162,1428
163,488
164,2308
165,1176
166,592
167,516
168,612
169,1060
170,1064
171,1456
172,1356
173,1592
174,392
175,1192
176,1940
177,608
178,316
179,896
180,1552
181,132
182,1372
183,1176
184,512
185,444
186,1108
187,2072
188,808
189,1524
190,1556
191,672
192,1048
193,668
194,868
195,760
196,1056
197,1364
198,1524
199,2072
200,608
201,1284
202,1712
203,724
204,644
205,796
206,792
207,1088
208,1024
209,828
210,336
211,2016
212,656
213,1200
214,1844
215,556
216,620
217,428
218,900
219,1104
220,500
221,408
222,1336
223,576
224,784
225,1520
226,1352
227,1496
228,436
229,876
230,1284
231,1108
232,156
233,760
234,660
235,1440
236,712
237,1484
238,1648
239,340
240,444
241,1256
242,2552
243,1172
244,364
245,372
