Episode,Score
0,684
1,2004
2,1524
3,1112
4,236
5,700
6,700
7,352
8,612
9,744
10,1180
11,2212
12,992
13,636
14,256
15,388
16,1544
17,392
18,200
19,756
20,908
21,1088
22,676
23,928
24,680
25,716
26,580
27,104
28,1016
29,716
30,312
31,104
32,588
33,2168
34,1412
35,1240
36,404
37,524
38,152
39,360
40,1304
41,296
42,920
43,472
44,524
45,784
46,1344
47,2220
48,1804
49,484
50,1004
51,216
52,584
53,284
54,1400
55,1108
56,280
57,1176
58,636
59,1484
60,1172
61,472
62,1300
63,528
64,156
65,920
66,1096
67,972
68,588
69,604
70,640
71,2584
72,1160
73,1748
74,876
75,1100
76,936
77,792
78,544
79,4352
80,768
81,1648
82,1228
83,1572
84,1084
85,2892
86,384
87,552
88,660
89,596
90,584
91,1012
92,528
93,200
94,988
95,828
96,776
97,2100
98,1340
99,848
100,500
101,784
102,648
103,212
104,280
105,1068
106,2256
107,532
108,1060
109,732
110,6004
111,632
112,1380
113,1208
114,1260
115,428
116,1072
117,1516
118,1832
119,1320
120,1984
121,1124
122,2496
123,1656
124,916
125,1556
126,1084
127,1008
128,532
129,1312
130,816
131,260
132,2508
133,1456
134,2140
135,480
136,1428
137,1116
138,3064
139,1132
140,388
141,920
142,1732
143,1064
144,588
145,1460
146,872
147,772
148,2380
149,1876
150,652
151,1060
152,916
153,316
154,1432
155,772
156,1256
157,904
158,276
159,1016
160,1296
161,2476
162,576
163,256
164,1180
165,584
166,1540
167,1036
168,1096
169,732
170,752
171,1184
172,692
173,1704
174,188
175,1136
176,1852
177,872
178,636
179,1432
180,1748
181,708
182,552
183,516
184,828
185,440
186,1540
187,1552
188,1360
189,1472
190,648
191,376
192,676
193,880
194,880
195,564
196,1056
197,628
198,944
199,1876
200,1184
201,1244
202,424
203,3264
204,768
205,2940
206,504
207,1644
208,216
209,1152
210,2852
211,1136
212,448
213,796
214,2332
215,1444
216,1004
217,1332
218,708
219,712
220,1792
221,840
222,1184
223,368
224,716
225,948
226,828
227,1412
228,1344
229,2044
230,676
231,516
232,584
233,1056
234,368
235,536
236,1140
237,2164
238,864
239,364
240,868
241,1000
242,1260
243,440
244,428
245,340
246,624
247,660
248,1312
249,536
250,436
251,1304
252,820
253,392
254,680
255,1140
256,1788
257,672
258,2292
259,1384
260,1348
261,1368
262,780
263,616
264,348
265,244
266,868
267,1268
268,436
269,740
270,2740
271,560
272,1392
273,548
274,372
275,444
276,372
277,724
278,2208
279,932
280,1624
281,1016
282,428
283,4668
284,972
285,1096
286,380
287,1040
288,144
289,444
290,1984
291,736
292,2004
293,1436
294,188
295,568
296,680
297,212
298,1068
299,1736
300,580
301,1928
302,860
303,1444
304,2300
305,1288
306,200
307,172
308,448
309,360
310,324
311,680
312,720
313,752
314,2856
315,1456
316,816
317,1460
318,1564
319,2620
320,1056
321,692
322,248
323,900
324,1208
325,1036
326,264
327,1252
328,1004
329,988
330,356
331,1012
332,696
333,824
334,612
335,1292
336,416
337,488
338,876
339,1916
340,1532
341,316
342,604
343,708
344,388
345,2728
346,472
347,1696
348,772
349,3204
350,320
351,1532
352,212
353,280
354,416
355,436
356,868
357,1984
358,328
359,736
360,1472
361,1868
362,492
363,656
364,3160
365,2184
366,820
367,3016
368,2492
369,2288
370,872
371,992
372,448
373,380
374,1536
375,492
376,1216
377,576
378,160
379,688
380,164
381,1976
382,1196
383,332
384,560
385,704
386,784
387,460
388,1936
389,600
390,256
391,184
392,608
393,224
394,1292
395,480
396,1700
397,1228
398,2540
399,576
400,552
401,640
402,664
403,1016
404,520
405,636
406,380
407,788
408,1672
409,364
410,2536
411,196
412,1064
413,832
414,1416
415,984
416,1096
417,1356
418,3212
419,1280
420,816
421,712
422,1064
423,644
424,312
425,2596
426,612
427,4116
428,1236
429,3508
430,668
431,1252
432,1288
433,888
434,396
435,1132
436,1060
437,2408
438,1840
439,1440
440,452
441,884
442,1288
443,2172
444,1220
445,1364
446,764
447,860
448,1024
449,256
450,348
451,612
452,840
453,1252
454,4560
455,1228
456,1248
457,4244
458,616
459,1152
460,308
461,2560
462,500
463,628
464,712
465,1744
466,560
467,1384
468,236
469,548
470,532
471,164
472,428
473,644
474,332
475,1568
476,1364
477,584
478,996
479,772
480,884
481,640
482,132
483,376
484,628
485,720
486,640
487,176
488,772
489,328
490,892
491,480
492,1132
493,388
494,876
495,1496
496,1040
497,1684
498,1544
499,1904
500,1492
501,1012
502,232
503,740
504,1176
505,948
506,328
507,508
508,388
509,680
510,704
511,348
512,176
513,752
514,312
515,1564
516,1312
517,2188
518,300
519,1300
520,1016
521,1280
522,764
523,604
524,664
525,528
526,1204
527,624
528,1272
529,500
530,388
531,1296
532,964
533,748
534,1864
535,2232
536,624
537,136
538,392
539,724
540,2636
541,1320
542,3264
543,444
544,284
545,232
546,288
547,1004
548,868
549,1408
550,1492
551,316
552,400
553,1472
554,1876
555,1536
556,4488
557,132
558,500
559,1184
560,748
561,1076
562,648
563,1320
564,844
565,592
566,304
567,1364
568,2624
569,284
570,292
571,1228
572,584
573,684
574,188
575,580
576,536
577,472
578,928
579,2884
580,416
581,892
582,1152
583,164
584,1464
585,796
586,300
587,692
588,1576
589,1256
590,156
591,1460
592,3552
593,1028
594,1376
595,528
596,760
597,596
598,3004
599,892
600,508
601,3288
602,444
603,1824
604,1480
605,988
606,228
607,868
608,356
609,712
610,1176
611,204
612,1544
613,332
614,740
615,964
616,1864
617,636
618,1172
619,2816
620,456
621,2080
622,2484
623,752
624,1516
625,916
626,1928
627,1784
628,1168
629,596
630,920
631,1492
632,1304
633,1280
634,604
635,2252
636,1140
637,1184
638,576
639,2184
640,660
641,432
642,672
643,1148
644,1256
645,1204
646,2616
647,224
648,644
649,332
650,460
651,1284
652,536
653,1304
654,548
655,2164
656,916
657,892
658,1592
659,888
660,1032
661,1224
662,1676
663,652
664,1128
665,760
666,1340
667,2464
668,940
669,156
670,1348
671,1148
672,1192
673,240
674,2652
675,360
676,316
677,504
678,1176
679,752
680,2416
681,708
682,2052
683,324
684,828
685,40
686,2148
687,1184
688,520
689,492
690,252
691,1284
692,864
693,1264
694,652
695,396
696,888
697,852
698,480
699,288
700,452
701,1140
702,576
703,344
704,668
705,904
706,904
707,1200
708,2716
709,360
710,172
711,860
712,356
713,728
714,624
715,252
716,508
717,2180
718,588
719,212
720,2260
721,1328
722,1264
723,1512
724,1100
725,1544
726,452
727,1288
728,1420
729,220
730,672
731,752
732,1092
733,3144
734,396
735,540
736,1172
737,208
738,1088
739,968
740,508
741,1468
742,752
743,1352
744,356
745,500
746,2568
747,2496
748,2144
749,632
750,860
751,1136
752,2196
753,992
754,1424
755,1072
756,560
757,1288
758,1616
759,2860
760,2804
761,180
762,168
763,1496
764,2248
765,1324
766,2032
767,2312
768,296
769,324
770,788
771,788
772,2104
773,344
774,768
775,2284
776,448
777,524
778,1728
779,244
780,556
781,492
782,1868
783,1224
784,1484
785,116
786,716
787,1048
788,1332
789,464
790,936
791,2340
792,192
793,1756
794,808
795,2904
796,1368
797,288
798,224
799,476
800,312
801,936
802,1604
803,476
804,528
805,828
806,736
807,1104
808,4400
809,884
810,592
811,788
812,1312
813,936
814,696
815,1992
816,604
817,752
818,3076
