Episode,Score
0,2868
1,468
2,412
3,480
4,2232
5,1696
6,532
7,1364
8,996
9,2668
10,432
11,1128
12,1100
13,144
14,412
15,24
16,172
17,2536
18,264
19,1572
20,260
21,2052
22,2052
23,932
24,360
25,528
26,1124
27,372
28,1976
29,1552
30,1716
31,548
32,1024
33,676
34,580
35,412
36,628
37,432
38,768
39,1396
40,944
41,940
42,1748
43,2808
44,452
45,884
46,712
47,600
48,612
49,508
50,1464
51,828
52,2712
53,464
54,356
55,764
56,1560
57,652
58,788
59,636
60,1220
61,1840
62,1332
63,532
64,556
65,212
66,1400
67,916
68,1568
69,464
70,1244
71,544
72,1148
73,1552
74,1256
75,824
76,892
77,1384
78,1216
79,176
80,648
81,584
82,304
83,1084
84,376
85,700
86,2856
87,920
88,768
89,788
90,2104
91,636
92,3932
93,1276
94,284
95,524
96,512
97,620
98,888
99,1600
100,456
101,996
102,824
103,1300
104,2888
105,1120
106,344
107,1188
108,1056
109,1220
110,1688
111,3624
112,1092
113,712
114,968
115,240
116,400
117,300
118,320
119,360
120,268
121,1168
122,852
123,108
124,408
125,884
126,344
127,716
128,884
129,352
130,292
131,1164
132,1092
133,568
134,1300
135,360
136,648
137,808
138,108
139,492
140,440
141,436
142,1928
143,296
144,944
145,768
146,1720
147,868
148,728
149,404
150,1204
151,1356
152,1512
153,296
154,1180
155,1344
156,620
157,972
158,784
159,3216
160,584
161,2764
162,324
163,1188
164,1440
165,340
166,296
167,564
168,344
169,312
170,924
171,332
172,2448
173,180
174,1124
175,704
176,1380
177,832
178,644
179,472
180,2544
181,528
182,436
183,528
184,496
185,448
186,2400
187,572
188,1596
189,344
190,624
191,532
192,1472
193,2224
194,628
195,552
196,644
197,596
198,600
199,952
200,1160
201,260
202,724
203,644
204,808
205,244
206,1964
207,1400
208,2540
209,284
210,1024
211,1664
212,796
213,600
214,1168
215,384
216,1124
217,1696
218,316
219,708
220,2552
221,620
222,676
223,1484
224,1412
225,1500
226,288
227,748
228,2068
229,520
230,2408
231,608
232,1420
233,568
234,1536
235,2340
236,1036
237,1040
238,208
239,632
240,1176
241,852
242,476
243,928
244,2180
245,640
246,1076
247,824
248,1456
249,588
250,1224
251,408
252,2172
253,292
254,1108
255,4012
256,792
257,3204
258,1000
259,1076
260,1496
261,776
262,276
263,200
264,960
265,2164
266,464
267,152
268,480
269,224
270,1264
271,656
272,1400
273,448
274,572
275,460
276,740
277,2396
278,356
279,612
280,896
281,2208
282,644
283,1164
284,2552
285,420
286,976
287,576
288,1272
289,496
290,1116
291,420
292,1660
293,468
294,260
295,216
296,432
297,540
298,68
299,196
300,344
301,2792
302,904
303,2744
304,584
305,576
306,508
307,472
308,1508
309,1176
310,1604
311,848
312,1896
313,1196
314,864
315,580
316,1172
317,1244
318,1248
319,820
320,672
321,740
322,568
323,1012
324,1004
325,1996
326,800
327,2996
328,1100
329,740
330,1564
331,276
332,952
333,820
334,1792
335,668
336,1552
337,916
338,2180
339,1396
340,484
341,1048
342,864
343,788
344,504
345,972
346,2784
347,1448
348,416
349,1092
350,1948
351,592
352,944
353,328
354,580
355,772
356,568
357,664
358,560
359,732
360,260
361,2040
362,1656
363,576
364,216
365,576
366,3156
367,872
368,2300
369,1952
370,1324
371,1444
372,1912
373,896
374,236
375,792
376,876
377,660
378,512
379,1056
380,2144
381,484
382,2944
383,696
384,1108
385,1548
386,1124
387,700
388,1148
389,1412
390,1556
391,188
392,152
393,1448
394,344
