Episode,Score
0,28
1,572
2,600
3,600
4,552
5,1276
6,228
7,1192
8,948
9,1500
10,984
11,416
12,732
13,732
14,280
15,1232
16,2104
17,1584
18,744
19,688
20,148
21,708
22,5012
23,484
24,1244
25,404
26,1284
27,1428
28,1084
29,1072
30,1260
31,1052
32,988
33,596
34,520
35,792
36,1236
37,372
38,628
39,320
40,920
41,444
42,1384
43,508
44,1168
45,1260
46,1188
47,1084
48,668
49,444
50,668
51,2388
52,1456
53,160
54,612
55,1444
56,264
57,1056
58,576
59,512
60,2764
61,544
62,492
63,3700
64,412
65,592
66,528
67,464
68,1324
69,104
70,1140
71,1264
72,1196
73,1848
74,268
75,824
76,724
77,992
78,308
79,268
80,556
81,288
82,972
83,960
84,952
85,208
86,1216
87,180
88,3452
89,872
90,208
91,500
92,1172
93,2940
94,368
95,876
96,772
97,968
98,748
99,1736
100,728
101,1528
102,520
103,456
104,364
105,1244
106,696
107,980
108,416
109,1244
110,568
111,1028
112,1212
113,668
114,900
115,452
116,128
117,392
118,524
119,1704
120,748
121,48
122,1160
123,1312
124,852
125,612
126,448
127,884
128,540
129,396
130,1404
131,284
132,528
133,280
134,492
135,332
136,2168
137,1164
138,528
139,448
140,1236
141,3032
142,2348
143,376
144,928
145,816
146,1964
147,268
148,68
149,220
150,444
151,292
152,1904
153,340
154,628
155,1400
156,1160
157,1400
158,444
159,1468
160,1148
161,436
162,892
163,2456
164,1032
165,1536
166,552
167,1044
168,196
169,576
170,1068
171,1244
172,728
173,692
174,1124
175,212
176,688
177,1376
178,960
179,728
180,552
181,568
182,2000
183,516
184,932
185,352
186,276
187,260
188,1332
189,492
190,756
191,2556
192,452
193,204
194,544
195,2884
196,864
197,1048
198,764
199,896
200,628
201,508
202,860
203,236
204,208
205,708
206,700
207,1408
208,744
209,312
210,1472
211,1752
212,1000
213,624
214,844
215,360
216,424
217,2092
218,896
219,1196
220,716
221,636
222,776
223,2316
224,268
225,632
226,196
227,1440
228,988
229,1588
230,1300
231,396
232,1072
233,1384
234,904
235,420
236,240
237,440
238,2880
239,3020
240,208
241,764
242,240
243,2356
244,488
245,400
246,708
247,452
248,184
249,1388
250,1556
251,1976
252,1004
253,680
254,348
255,1108
256,1664
257,720
258,1172
259,532
260,616
261,3300
262,376
263,1408
264,600
265,1356
266,644
267,868
268,272
269,1128
270,1404
271,1100
272,1476
273,1728
274,612
275,684
276,196
277,1040
278,416
279,1740
280,512
281,500
282,492
283,1044
284,1248
285,548
286,388
287,452
288,124
289,2564
290,168
291,1296
292,480
293,1044
294,864
295,548
296,1476
297,1312
298,600
299,788
300,1156
301,1976
302,608
303,1088
304,1580
305,2208
306,636
307,552
308,2344
309,584
310,1584
311,744
312,652
313,1280
314,1952
315,1980
316,1380
317,676
318,1116
319,492
320,1228
321,712
322,2092
323,2760
324,772
325,372
326,492
327,1236
328,1128
329,1108
330,1128
331,860
332,604
333,1368
334,952
335,456
336,884
337,712
338,828
339,844
340,2640
341,3260
342,256
343,832
344,704
345,800
346,3672
347,944
348,856
349,624
350,608
351,1488
352,1240
353,988
354,600
355,436
356,476
357,1916
358,4984
359,388
360,3004
361,1320
362,856
363,512
364,1088
365,456
366,464
367,688
368,1328
369,1292
370,204
371,928
372,2144
373,564
374,60
375,1256
376,1984
377,1132
378,916
379,972
380,768
381,2004
382,384
383,376
384,1532
385,412
386,952
387,424
388,488
389,576
390,964
391,80
392,1548
393,876
394,596
395,468
396,744
397,616
398,336
399,724
400,1248
401,876
402,988
403,584
404,1444
405,1092
406,160
407,448
408,544
409,1072
410,728
411,732
412,644
413,2020
414,1336
415,972
416,1668
417,332
418,192
419,1288
420,552
421,640
422,372
423,796
424,136
425,1224
426,688
427,520
428,1344
429,1144
430,1008
431,1100
432,1152
433,1064
434,416
435,280
436,268
437,124
438,164
439,1256
440,632
441,1036
442,2208
443,976
444,768
445,1248
446,2628
447,1128
448,2136
449,1080
450,512
451,380
452,428
453,1508
454,548
455,372
456,996
457,592
458,488
459,916
460,144
461,436
462,88
