Episode,Score
0,304
1,1156
2,1112
3,500
4,292
5,176
6,1332
7,752
8,136
9,460
10,1196
11,440
12,336
13,184
14,464
15,1184
16,1536
17,344
18,2632
19,900
20,108
21,648
22,288
23,2720
24,236
25,228
26,720
27,1356
28,1008
29,624
30,632
31,812
32,504
33,448
34,72
35,1548
36,548
37,2144
38,176
39,1164
40,184
41,1668
42,604
43,592
44,1128
45,228
46,1100
47,744
48,672
49,1392
50,1056
51,1080
52,840
53,760
54,1116
55,388
56,680
57,2416
58,2288
59,692
60,340
61,1308
62,240
63,856
64,276
65,356
66,748
67,1116
68,1208
69,536
70,188
71,348
72,1548
73,240
74,832
75,252
76,644
77,512
78,300
79,1380
80,2196
81,1056
82,780
83,1440
84,660
85,552
86,1372
87,1200
88,1380
89,312
90,492
91,2468
92,108
93,1212
94,708
95,124
96,1088
97,336
98,212
99,852
100,400
101,880
102,440
103,836
104,784
105,424
106,3296
107,636
108,220
109,1332
110,1352
111,1736
112,648
113,704
114,644
115,1804
116,432
117,1712
118,424
119,356
120,296
121,388
122,1040
123,944
124,1360
125,532
126,712
127,744
128,708
129,2448
130,332
131,1004
132,560
133,300
134,568
135,1208
136,2604
137,512
138,1136
139,564
140,1280
141,272
142,1332
143,532
144,260
145,308
146,496
147,700
148,388
149,744
150,596
151,692
152,1136
153,500
154,160
155,668
156,728
157,308
158,276
159,528
160,2400
161,1064
162,1144
163,676
164,644
165,984
166,224
167,292
168,2508
169,560
170,692
171,404
172,580
173,596
174,308
175,668
176,1036
177,144
178,308
179,348
180,876
181,720
182,1352
183,432
184,1300
185,232
186,1280
187,1176
188,380
189,532
190,288
191,224
192,332
193,532
194,388
195,892
196,1600
197,344
198,2100
199,792
200,1184
201,788
202,1260
203,648
204,120
205,652
206,788
207,2092
208,1324
209,592
210,128
211,672
212,232
213,2380
214,336
215,928
216,252
217,264
218,124
219,916
220,1176
221,1276
222,2616
223,200
224,112
225,892
226,1488
227,196
228,400
229,400
230,332
231,920
232,152
233,852
234,808
235,164
236,1380
237,576
238,336
239,1076
240,320
241,456
242,416
243,1200
244,1704
245,432
246,820
247,1328
248,1864
249,136
250,204
251,1812
252,568
253,1524
254,932
255,1300
256,1560
257,1128
258,2480
259,704
260,80
261,1152
262,956
263,700
264,516
265,1288
266,824
267,208
268,376
269,296
270,636
271,1252
272,972
273,520
274,728
275,752
276,1232
277,444
278,112
279,256
280,204
281,824
282,492
283,1016
284,1196
285,812
286,1224
287,320
288,500
289,800
290,2136
291,792
292,2544
293,332
294,560
295,1284
296,888
297,2160
298,44
299,1324
300,2232
301,1212
302,1172
303,400
304,972
305,672
306,204
307,1936
308,1032
309,412
310,1944
311,2164
312,304
313,780
314,1332
315,296
316,688
317,208
318,396
319,2324
320,552
321,536
322,948
323,604
324,1056
325,484
326,176
327,712
328,1256
329,212
330,832
331,192
332,544
333,452
334,472
335,2456
336,1144
337,732
338,600
339,856
340,516
341,3044
342,1440
343,960
344,772
345,1432
346,928
347,912
348,248
349,1072
350,1448
351,728
352,1252
353,156
354,2696
355,1504
356,1224
357,700
358,1280
359,840
360,692
361,796
362,1396
363,2696
364,580
365,604
366,180
367,644
368,464
369,420
370,708
371,436
372,2232
373,848
374,1264
375,208
376,1296
377,264
378,1232
379,548
380,1160
381,780
382,1020
383,68
384,1256
385,524
386,184
387,584
388,660
389,104
390,1128
391,724
392,1340
393,1412
394,3120
395,312
396,924
397,664
398,536
399,788
400,512
401,1888
402,552
403,1456
404,1092
405,1980
406,380
407,536
408,1208
409,1532
410,224
411,980
412,968
413,2140
414,692
415,744
416,620
417,1440
418,352
419,1256
420,2268
421,588
422,548
423,1112
424,492
425,684
426,1148
427,260
428,1004
429,2512
430,1020
431,460
432,620
433,700
434,3652
435,696
436,528
437,568
438,1348
439,452
440,1304
441,324
442,460
443,1196
444,2464
445,1188
446,176
447,1524
448,1648
449,556
450,1320
451,1496
452,1316
453,1596
454,712
455,580
456,356
457,544
458,524
459,2172
460,1704
461,488
462,1248
463,212
464,628
465,2440
466,1384
467,104
468,492
469,1160
470,300
471,228
472,936
473,484
474,52
475,1472
476,416
477,356
478,636
479,156
480,2936
481,56
482,272
483,684
484,1296
485,340
486,2128
487,1304
488,776
489,1508
490,696
491,720
492,1132
493,340
494,588
495,552
496,2168
497,848
498,624
499,432
500,480
501,1204
502,1684
503,608
504,1160
505,1192
506,1252
507,420
508,328
509,2596
510,912
511,768
512,168
513,792
514,508
515,1912
516,268
517,752
518,724
519,480
520,240
521,580
522,720
523,156
524,452
525,1724
526,544
527,888
528,780
529,832
530,484
531,688
532,332
533,796
534,496
535,592
536,1136
537,324
538,528
539,2004
540,1080
541,1228
542,368
543,1284
544,1952
545,1168
546,1060
547,1560
548,1024
549,528
550,1236
551,636
552,1992
553,628
554,1052
555,600
556,1108
557,1096
558,296
559,732
560,284
561,888
562,1248
563,2144
564,292
565,188
566,1100
567,320
568,724
569,364
570,2096
571,372
572,1860
573,1860
574,3620
575,692
576,436
577,356
578,840
579,876
580,912
581,1204
582,1284
583,252
584,1112
585,1128
586,68
587,76
588,264
589,884
590,760
591,368
592,836
593,608
594,752
595,732
596,612
597,248
598,480
599,232
600,1044
601,1340
602,292
603,1320
604,888
605,1308
606,228
607,764
608,564
609,168
610,2540
611,4376
612,424
613,1072
614,1712
615,956
616,3180
617,1124
618,808
619,352
620,2276
621,1040
622,1688
623,392
624,1116
625,456
626,568
627,236
628,792
629,2388
630,1228
631,1356
632,604
633,468
634,904
635,364
636,680
637,208
638,632
639,676
640,1240
641,1144
642,484
643,1732
644,352
645,252
646,240
647,596
648,1332
649,640
650,948
651,1008
652,456
653,552
654,776
655,1172
656,2100
657,1004
658,1012
659,1220
660,220
661,572
662,336
663,140
664,1604
665,1068
666,1156
667,924
668,640
669,1028
670,216
671,424
672,1164
673,1336
674,1048
675,244
676,756
677,628
678,1452
679,212
680,416
681,128
682,1048
683,588
684,816
685,1284
686,1004
687,3036
688,1372
689,808
690,628
691,228
692,728
693,1108
694,1524
695,1028
696,416
697,784
698,800
699,516
700,1332
701,172
702,1412
703,1676
704,964
705,356
706,264
707,2432
708,1776
709,2732
710,248
711,696
712,616
713,508
714,1500
715,2120
716,1324
717,1608
718,340
719,600
720,1860
721,1808
722,972
723,1436
724,1028
725,268
726,600
727,1332
728,616
729,1076
730,1508
731,472
732,364
733,2848
734,252
735,376
736,864
737,3032
738,924
739,2800
740,352
741,384
742,440
743,612
744,1056
745,528
746,1348
747,1132
748,1292
749,1020
750,1044
751,164
752,1344
753,724
754,968
755,2848
756,444
757,284
758,4652
759,824
760,1436
761,1108
762,740
763,1132
764,452
765,1236
766,292
767,440
768,2280
769,612
770,312
771,808
772,1032
773,2284
774,536
775,380
776,476
777,604
778,368
779,1228
780,168
781,256
782,468
783,316
784,560
785,2428
786,268
787,248
788,928
789,1096
790,980
791,132
792,1196
793,716
794,1160
795,2596
796,584
797,148
798,588
799,296
800,3464
801,2080
802,444
803,3556
804,988
805,876
806,552
807,3124
808,1484
809,928
810,880
811,3444
812,3288
813,3148
814,896
815,1712
816,928
817,492
818,448
819,1700
820,2644
821,332
822,460
823,784
824,188
825,704
826,480
827,2184
828,1152
829,256
830,1284
831,528
832,944
833,896
834,752
835,552
836,1452
837,1440
838,1480
839,1496
840,564
841,336
842,1976
843,612
844,1160
845,1600
846,820
847,168
848,924
849,452
850,640
851,400
852,344
853,752
854,748
855,1080
856,1316
857,968
858,808
859,452
860,1912
861,588
862,2392
863,1196
864,152
865,544
866,340
867,1508
868,1024
869,552
870,680
871,196
872,1308
873,352
874,448
875,592
876,1628
877,2144
878,1188
879,876
880,1076
881,1008
882,840
883,1344
884,364
885,1308
886,556
887,644
888,484
889,3212
890,504
891,800
892,660
893,904
894,256
895,1712
896,108
897,372
898,1384
899,1300
900,1224
901,212
902,412
903,1096
904,696
905,1024
906,928
907,536
908,684
909,1252
910,236
911,496
912,560
913,1948
914,220
915,1040
916,1612
917,320
918,1068
919,128
920,652
921,3148
922,652
923,956
924,556
925,1276
926,848
927,548
928,1268
929,624
930,228
931,1332
932,2516
933,2276
934,1132
935,2372
936,568
937,1232
938,128
939,180
940,804
941,604
942,704
943,1080
944,456
945,2220
946,692
947,592
948,852
949,2368
950,328
951,844
952,620
953,664
954,512
955,1452
956,468
957,628
958,2096
959,1100
960,1236
961,792
962,600
963,1200
964,292
965,624
966,664
967,300
968,1948
969,300
970,3212
971,912
972,72
973,468
974,2352
975,1452
976,308
977,124
978,816
979,240
980,292
981,628
982,2088
983,1320
984,1228
985,604
986,412
987,1988
988,40
989,488
990,472
991,2200
992,1240
993,356
994,1212
995,1500
996,2036
997,404
998,572
999,540
1000,2644
1001,2056
1002,640
1003,1476
1004,656
1005,2128
1006,1588
1007,1736
1008,1568
1009,160
1010,1388
1011,3720
1012,576
1013,400
1014,2452
1015,1204
1016,400
1017,2212
1018,892
1019,2152
1020,3840
1021,1884
1022,728
1023,2196
1024,708
1025,1160
1026,448
1027,2920
1028,72
1029,600
1030,724
1031,1072
1032,1140
1033,248
1034,1540
1035,140
1036,244
1037,592
1038,896
1039,2004
1040,1284
1041,1368
1042,1064
1043,644
1044,932
1045,84
1046,2552
1047,1068
1048,560
1049,996
1050,1064
1051,468
1052,512
1053,672
1054,908
1055,636
1056,600
1057,1308
1058,1068
1059,240
1060,140
1061,328
1062,980
1063,888
1064,2044
1065,1332
1066,3312
1067,1400
1068,2760
1069,1260
1070,132
1071,752
1072,292
1073,1760
1074,1320
1075,3244
1076,1368
1077,1788
1078,344
1079,376
1080,956
1081,3628
1082,1536
1083,1100
1084,416
1085,260
1086,1184
1087,124
1088,992
1089,2060
1090,1036
1091,1264
1092,164
1093,1432
1094,2456
1095,524
1096,1432
1097,500
1098,468
1099,2384
1100,692
1101,872
1102,668
1103,1824
1104,632
1105,3680
1106,716
1107,1348
1108,212
1109,304
1110,1224
1111,828
1112,156
1113,744
1114,556
1115,2372
1116,88
1117,2124
1118,780
1119,984
1120,352
1121,1284
1122,884
1123,2828
1124,1260
1125,1208
1126,1628
1127,3344
1128,1428
1129,684
1130,1124
1131,1208
1132,1040
1133,896
1134,1244
1135,992
1136,504
1137,2120
1138,296
1139,820
1140,892
1141,1224
1142,2912
1143,1832
1144,472
1145,600
1146,1004
1147,392
1148,1240
1149,2884
1150,1188
1151,676
1152,1004
1153,1984
1154,644
1155,900
1156,1688
1157,700
1158,164
1159,872
1160,2196
1161,1544
1162,3152
1163,1484
1164,2720
1165,2436
1166,1524
1167,872
1168,720
1169,996
1170,884
1171,788
1172,1520
1173,1092
1174,2212
1175,1116
1176,260
1177,2356
1178,1008
1179,2320
1180,424
1181,2508
1182,2940
1183,2412
1184,976
1185,1564
1186,684
1187,1768
1188,1132
1189,260
1190,660
1191,1928
1192,668
1193,396
1194,600
1195,388
1196,784
1197,424
1198,1184
1199,1184
1200,448
1201,520
1202,1136
1203,328
1204,496
1205,768
1206,248
1207,824
1208,1100
1209,504
1210,620
1211,2396
1212,2136
1213,1056
1214,2828
1215,960
1216,532
1217,1160
1218,432
1219,2220
1220,540
1221,2180
1222,1648
1223,1476
1224,1360
1225,1412
1226,3528
1227,956
1228,284
1229,584
1230,1280
1231,1652
1232,1584
1233,392
1234,2248
1235,1364
1236,2368
1237,2180
1238,400
1239,1056
1240,608
1241,52
1242,2676
1243,1380
1244,860
1245,772
1246,604
1247,908
1248,2160
1249,1192
1250,504
1251,2184
1252,1796
1253,276
1254,652
1255,1704
1256,1188
1257,264
1258,2420
1259,1104
1260,856
1261,3612
1262,440
1263,1800
1264,600
1265,576
1266,2404
1267,628
1268,524
1269,944
1270,348
1271,1260
1272,244
1273,676
1274,332
1275,628
1276,368
1277,376
1278,2144
1279,352
1280,496
1281,1540
1282,1980
1283,1560
1284,764
1285,1704
1286,508
1287,280
1288,696
1289,584
1290,1228
1291,344
1292,388
1293,600
1294,316
1295,664
1296,2732
1297,1400
1298,1864
1299,1164
1300,704
1301,508
1302,1492
1303,348
1304,944
1305,484
1306,1004
1307,1132
1308,1412
1309,1316
1310,920
1311,1108
1312,1528
1313,344
1314,312
1315,384
1316,2212
1317,340
1318,236
1319,528
1320,2752
1321,1472
1322,1216
1323,984
1324,2904
1325,1572
1326,2144
1327,1236
1328,1476
1329,408
1330,968
1331,2552
1332,1568
1333,524
1334,1236
1335,1308
1336,392
1337,1956
1338,944
1339,2156
1340,492
1341,1464
1342,1940
1343,1344
1344,436
1345,944
1346,3696
1347,876
1348,576
1349,1140
1350,1616
1351,992
1352,332
1353,816
1354,2364
1355,972
1356,900
1357,1144
1358,1556
1359,232
1360,1844
1361,1516
1362,1372
1363,596
1364,524
1365,1056
1366,164
1367,916
1368,1188
1369,1400
1370,476
1371,1260
1372,1084
1373,2224
1374,2104
1375,1600
1376,160
1377,900
1378,1156
1379,1796
1380,5516
1381,1596
1382,748
1383,2024
1384,2248
1385,700
1386,580
1387,412
1388,1504
1389,2352
1390,512
1391,2280
1392,1720
1393,612
1394,684
1395,1008
1396,1708
1397,428
1398,1660
1399,1248
1400,1684
1401,1964
1402,660
1403,312
1404,164
1405,664
1406,548
1407,3184
1408,2964
1409,608
1410,2020
1411,1600
1412,576
1413,2168
1414,792
1415,608
1416,580
1417,536
1418,212
1419,740
1420,616
1421,1716
1422,2096
1423,1032
1424,896
1425,1460
1426,2980
1427,412
1428,5600
1429,1168
1430,2528
1431,2148
1432,1064
1433,920
1434,3144
1435,460
1436,280
1437,2060
1438,1092
1439,1076
1440,292
1441,1520
1442,280
1443,504
1444,820
1445,1104
1446,1412
1447,1912
1448,1924
1449,1388
1450,444
1451,1104
1452,1488
1453,2844
1454,1396
1455,456
1456,1824
1457,704
1458,1948
1459,1268
1460,1832
1461,368
1462,1112
1463,484
1464,504
1465,2736
1466,1416
1467,652
1468,1348
1469,1596
1470,564
1471,744
1472,1376
1473,732
1474,524
1475,616
1476,280
1477,264
1478,316
1479,460
1480,3776
1481,616
1482,576
1483,1696
1484,596
1485,932
1486,612
1487,2116
1488,476
1489,988
1490,828
1491,380
1492,1572
1493,936
1494,1048
1495,952
1496,508
1497,356
1498,384
1499,512
1500,320
1501,1928
1502,1228
1503,776
1504,460
1505,1304
1506,676
1507,1784
1508,1472
1509,688
1510,288
1511,596
1512,976
1513,1192
1514,952
1515,1968
1516,2888
1517,900
1518,1020
1519,568
1520,5060
1521,432
1522,644
1523,2104
1524,1432
1525,1360
1526,1176
1527,3044
1528,1440
1529,1492
1530,956
1531,1256
1532,352
1533,1452
1534,1660
1535,444
1536,564
1537,1676
1538,1908
1539,556
1540,1804
1541,1064
1542,648
1543,568
1544,1656
1545,2692
1546,1196
1547,2600
1548,1056
1549,1004
1550,1556
1551,568
1552,188
1553,528
1554,1500
1555,1612
1556,1304
1557,1588
1558,988
1559,572
1560,1996
1561,584
1562,1220
1563,2616
1564,1136
1565,1652
1566,2080
1567,968
1568,1200
1569,1184
1570,344
1571,2168
1572,1400
1573,1204
1574,2568
1575,1276
1576,1892
1577,3008
1578,1228
1579,1064
1580,3060
1581,1412
1582,928
1583,1508
1584,1968
1585,920
1586,380
1587,2884
1588,384
1589,2116
1590,1220
1591,1044
1592,660
1593,1336
1594,448
1595,1304
1596,2608
1597,856
1598,564
1599,532
1600,1256
1601,292
1602,344
1603,1164
1604,1680
1605,1676
1606,3160
1607,1052
1608,1844
1609,812
1610,1316
1611,1132
1612,1008
1613,508
1614,1204
1615,856
1616,1128
1617,316
1618,1812
1619,912
1620,1416
1621,196
1622,220
1623,236
1624,872
1625,500
1626,524
1627,2444
1628,564
1629,3084
1630,540
1631,1180
1632,968
1633,1296
1634,1076
1635,424
1636,1180
1637,1420
1638,1996
1639,1040
1640,388
1641,352
1642,300
1643,1252
1644,776
1645,1336
1646,836
1647,3048
1648,492
1649,500
1650,1032
1651,2548
1652,724
1653,672
1654,716
1655,1148
1656,824
1657,2568
1658,1060
1659,2028
1660,2380
1661,828
1662,892
1663,2688
1664,540
1665,636
1666,1208
1667,1612
1668,1612
1669,296
1670,256
1671,364
1672,1264
1673,620
1674,592
1675,636
1676,348
1677,228
1678,1996
1679,1868
1680,824
1681,2480
1682,656
1683,920
1684,1028
1685,1248
1686,160
1687,444
1688,1444
1689,864
1690,576
