Episode,Score
0,816
1,712
2,784
3,460
4,204
5,308
6,2460
7,724
8,268
9,756
10,164
11,1408
12,880
13,1860
14,268
15,316
16,192
17,832
18,1536
19,3140
20,768
21,1452
22,508
23,380
24,1452
25,648
26,1188
27,1128
28,2104
29,936
30,2448
31,740
32,3256
33,1192
34,1476
35,568
36,3124
37,1424
38,68
39,228
40,980
41,760
42,1872
43,460
44,1012
45,976
46,1564
47,1636
48,940
49,612
50,1496
51,980
52,1616
53,420
54,420
55,2188
56,308
57,688
58,1220
59,892
60,1100
61,576
62,956
63,308
64,488
65,1424
66,712
67,820
68,3032
69,1356
70,672
71,652
72,2096
73,448
74,784
75,992
76,712
77,1168
78,808
79,628
80,136
81,1032
82,1412
83,1328
84,588
85,360
86,1924
87,88
88,308
89,1920
90,1048
91,1312
92,1760
93,1600
94,868
95,2648
96,932
97,792
98,1320
99,816
100,428
101,512
102,3260
103,1660
104,1752
105,1044
106,544
107,680
108,544
109,368
110,1812
111,2060
112,184
113,1964
114,1808
115,944
116,3388
117,1152
118,2164
119,552
120,856
121,452
122,732
123,700
124,1428
125,288
126,520
127,336
128,1688
129,2060
130,1932
131,1772
132,1036
133,396
134,80
135,356
136,984
137,624
138,3532
139,760
140,944
141,416
142,1948
143,1840
144,1284
145,1500
146,1132
147,512
148,668
149,152
150,1396
151,584
152,1088
153,520
154,292
155,1240
156,1488
157,444
158,2040
159,3248
160,1572
161,788
162,168
163,1984
164,124
165,708
166,640
167,2228
168,1924
169,1312
170,1056
171,940
172,868
173,4448
174,1304
175,264
176,2256
177,636
178,3296
179,1016
180,1648
181,1172
182,1624
183,5012
184,4260
185,1900
186,1008
187,1068
188,868
189,1904
190,392
191,624
192,644
193,1148
194,212
195,1004
196,2124
197,2164
198,2652
199,1452
200,2264
201,628
202,4628
203,460
204,1680
205,4908
206,1372
207,1208
208,1236
209,1628
210,1104
211,2052
212,2112
213,444
214,1280
215,396
216,844
217,2816
218,1976
219,2092
220,2644
221,1532
222,320
223,1344
224,124
225,1544
226,1000
227,504
228,3004
229,3088
230,1416
231,1756
232,712
233,128
234,4052
235,96
236,1168
237,632
238,848
239,548
240,168
241,1008
242,616
243,1148
244,556
245,688
246,1708
247,1708
248,3264
249,660
250,552
251,2876
252,1280
253,8984
254,548
255,2128
256,528
257,2796
258,648
259,2548
260,2688
261,1980
262,1612
263,1048
264,2052
265,1336
266,860
267,744
268,2072
269,488
270,248
271,180
272,5072
273,516
274,592
275,796
276,1752
277,1516
278,348
279,808
280,504
281,2044
282,1068
283,7596
284,1936
285,1176
286,1396
287,488
288,952
289,1520
290,1480
291,476
292,996
293,2028
