Episode,Score
0,2244
1,516
2,240
3,1980
4,820
5,1508
6,1036
7,640
8,628
9,1252
10,396
11,1684
12,1940
13,2008
14,772
15,556
16,716
17,388
18,1260
19,1132
20,600
21,1108
22,120
23,1100
24,592
25,488
26,484
27,640
28,816
29,288
30,820
31,532
32,652
33,156
34,488
35,580
36,344
37,560
38,456
39,1132
40,1492
41,640
42,216
43,1004
44,540
45,1216
46,296
47,568
48,356
49,616
50,1312
51,720
52,1084
53,964
54,1520
55,544
56,2076
57,828
58,528
59,2436
60,476
61,520
62,1520
63,676
64,1192
65,1064
66,756
67,1208
68,1196
69,776
70,2128
71,1340
72,668
73,412
74,636
75,784
76,1020
77,1596
78,1064
79,236
80,420
81,1976
82,1540
83,224
84,1700
85,1108
86,1200
87,740
88,1212
89,1224
90,1180
91,252
92,872
93,720
94,100
95,512
96,420
97,2124
98,576
99,544
100,100
101,776
102,2580
103,888
104,396
105,392
106,348
107,252
108,408
109,1136
110,2116
111,1384
112,744
113,856
114,1216
115,812
116,656
117,528
118,1152
119,776
120,1024
121,2288
122,856
123,1248
124,496
125,1092
126,392
127,924
128,1124
129,2284
130,1112
131,1880
132,1132
133,220
134,500
135,564
136,2144
137,448
138,740
139,700
140,412
141,956
142,628
143,1004
144,604
145,1048
146,956
147,536
148,1384
149,1084
150,1028
151,764
152,1456
153,1180
154,484
155,432
156,3164
157,1460
158,568
159,1192
160,232
161,688
162,564
163,1760
164,408
165,1500
166,460
167,896
168,360
169,1448
170,888
171,848
172,540
173,332
174,860
175,516
176,624
177,584
178,604
179,300
180,932
181,344
182,380
183,644
184,608
185,920
186,908
187,1384
188,892
189,1372
190,732
191,2028
192,1176
193,548
194,588
195,364
196,1908
197,544
198,1008
199,1388
200,380
201,608
202,1220
203,1956
204,224
205,2092
206,648
207,924
208,1288
209,800
210,1808
211,904
212,224
213,436
214,336
215,1056
216,352
217,560
218,56
219,340
220,1012
221,1280
222,1244
223,2172
224,344
225,912
226,1076
227,384
228,312
229,1244
230,788
231,620
232,572
233,796
234,1204
235,820
236,304
237,516
238,148
239,1140
240,1292
241,1184
242,1388
243,728
244,604
245,1256
246,1372
247,1072
248,712
249,324
250,1652
251,1632
252,620
253,1528
254,240
255,1340
256,796
257,156
258,1188
259,384
260,1100
261,1352
262,788
263,1300
264,560
265,584
